overall_rank,position_rank,player_name,position,current_team,player_type,fantasy_points_ppr,ppg,composite_score,consistency_score,injury_risk_score,team_context_score,avg_games_per_season,depth_chart_rank
490.0,209.0,D.Chark,WR,ATL,veteran,13.1,3.275,0.42158287019473206,0.5722229496911528,0.5779039110761548,0.6449999999999999,8.0,150.5
491.0,210.0,J.Jackson,WR,TEN,rookie,1.3,0.65,0.4203618541590326,1.0,0.5,0.575,8.0,143.0
492.0,85.0,D.Smythe,TE,CHI,veteran,14.3,1.1,0.4201269071699601,0.47244472479143607,0.24054377677849859,0.54,13.25,50.5
493.0,128.0,D.Vaughn,RB,DAL,2nd_year,11.8,2.3600000000000003,0.41847624557360624,0.5707208107294811,0.7058823529411764,0.7849999999999999,5.0,70.5
494.0,211.0,M.Corley,WR,NYJ,rookie,7.2,1.44,0.41647998406049913,0.7509803979495818,0.5,0.575,5.0,110.5
495.0,86.0,R.Dwelley,TE,SF,veteran,19.5,4.875,0.4164504609529366,0.6277684875404946,0.8028524955323045,0.8899999999999999,3.5,70.5
496.0,129.0,C.Edwards-Helaire,RB,NO,veteran,10.0,5.0,0.4138196453489125,0.5983159297398106,0.5355446239025363,0.54,9.25,90.5
497.0,212.0,T.Jones,WR,MIN,veteran,19.3,2.1444444444444444,0.4137759313858351,0.36236450412891996,0.6613213011909338,0.6449999999999999,6.5,190.5
498.0,213.0,J.Wilson,WR,PHI,rookie,14.8,1.6444444444444446,0.41303146185927125,0.3664167965026767,0.5,0.75,8.0,230.0
499.0,130.0,K.Ingram,RB,KC,2nd_year,14.000000000000002,2.0000000000000004,0.41289538608083526,0.3370120885284426,0.5882352941176471,0.82,7.0,110.5
500.0,87.0,H.Bryant,TE,HOU,veteran,17.6,3.5200000000000005,0.41166326787045027,0.445216958950808,0.4297401290458022,0.6799999999999999,11.25,70.5
501.0,71.0,Michael Penix Jr.,QB,ATL,rookie,17.454398935939935,4.312263266526337,0.40889521431526976,0.5555555555555556,0.5,0.7349999999999999,5.0,
502.0,131.0,S.Vaki,RB,DET,rookie,8.1,2.025,0.4086520834267436,0.5543956695769008,0.5,0.75,8.0,70.5
503.0,132.0,T.Williams,RB,CLE,veteran,14.9,1.0642857142857143,0.4077956308585695,0.36212835679839517,0.5579367200289265,0.54,9.0,110.5
504.0,72.0,C.Keenum,QB,CHI,veteran,28.68,5.736,0.4046814129401162,0.5331383858046463,0.7058823529411764,0.54,5.0,50.5
505.0,88.0,C.Heyward,TE,PIT,veteran,16.0,3.2,0.4035072993456965,0.6052784129405322,0.5818208555467677,0.6099999999999999,8.0,70.5
506.0,89.0,J.Hill,TE,MIA,veteran,22.0,2.0,0.4028328372596327,0.34073547322291076,0.5436742423674045,0.7849999999999999,8.5,30.5
507.0,214.0,J.Brownlee,WR,KC,veteran,16.6,4.15,0.40214980742476447,0.4354200000738985,0.764705882352941,0.82,4.0,150.5
508.0,133.0,C.Evans,RB,CIN,2nd_year,12.8,3.2,0.40157247202299545,0.48122470497866254,0.764705882352941,0.84,4.0,
509.0,90.0,T.Reiman,TE,ARI,rookie,9.7,1.94,0.4007866653969817,0.7403333835796284,0.5,0.5049999999999999,5.0,50.5
510.0,215.0,L.Treadwell,WR,IND,veteran,10.2,3.4,0.4007420393136152,0.6652535438786805,0.6374371656730926,0.6099999999999999,7.5,130.5
511.0,216.0,V.Jones,WR,NO,2nd_year,11.1,1.1099999999999999,0.3986462452570981,0.46871495753346853,0.4117647058823529,0.54,10.0,110.5
512.0,91.0,T.McKitty,TE,HOU,2nd_year,17.2,2.15,0.3970762623096686,0.4773614319577371,0.5294117647058822,0.6799999999999999,8.0,108.5
513.0,73.0,T.Taylor,QB,NYJ,veteran,20.06,10.03,0.39631099219881655,0.7000273901474081,0.7355434570891366,0.575,5.0,30.5
514.0,217.0,E.St. Brown,WR,SF,veteran,11.2,2.2399999999999998,0.39621473218338465,0.4049952006485989,0.4717194421290767,0.7849999999999999,10.0,250.5
515.0,218.0,B.Skowronek,WR,PIT,veteran,11.9,2.975,0.395966705957585,0.5301015575186119,0.5764705882352941,0.6099999999999999,9.0,110.5
516.0,134.0,S.Conner,RB,JAX,rookie,10.2,2.04,0.3944401392578128,0.39097423923782515,0.5,0.7699999999999999,17.0,
517.0,135.0,J.Chestnut,RB,TEN,veteran,13.3,1.9000000000000001,0.3941988043685162,0.39308364623361725,0.5882352941176471,0.575,7.0,50.0
518.0,219.0,S.Fehoko,WR,ARI,veteran,16.6,3.3200000000000003,0.39242273207394723,0.5530047467716899,0.8203221924792662,0.54,3.5,90.5
519.0,220.0,B.Covey,WR,LA,veteran,10.4,3.466666666666667,0.3921889509193197,0.8,0.8235294117647058,0.54,3.0,130.5
520.0,92.0,L.Musgrave,TE,GB,2nd_year,11.5,1.6428571428571428,0.3896161433948519,0.6338411906162639,0.5882352941176471,0.715,7.0,30.5
521.0,221.0,T.Martin,WR,WAS,veteran,11.9,11.9,0.3870001401073438,0.8,0.9411764705882353,0.575,1.0,250.5
522.0,74.0,K.Allen,QB,DET,veteran,15.940000000000001,7.970000000000001,0.3866625427274119,0.8,0.8823529411764706,0.75,2.0,50.5
523.0,222.0,T.Taylor,WR,SF,veteran,13.700000000000001,2.2833333333333337,0.3851373975330538,0.4020200274826775,0.6470588235294117,0.7849999999999999,6.0,272.0
524.0,223.0,J.Virgil,WR,BUF,veteran,15.500000000000002,3.8750000000000004,0.3846001238240208,0.40875369513226495,0.764705882352941,0.82,4.0,250.0
525.0,224.0,K.Kirkwood,WR,BAL,veteran,14.700000000000001,2.1,0.3844463621343733,0.3406221264845971,0.5882352941176471,0.715,7.0,150.5
526.0,225.0,B.Oliver,WR,TEN,veteran,15.500000000000002,3.1000000000000005,0.3808244483827208,0.4445921698376533,0.7058823529411764,0.575,5.0,162.0
527.0,136.0,D.Laube,RB,LV,rookie,-2.0,-2.0,0.3805300824611066,1.0,0.5,0.54,8.0,90.5
528.0,137.0,K.Nwangwu,RB,NYJ,2nd_year,11.5,3.8333333333333335,0.37832158792133685,0.6023017777025633,0.8235294117647058,0.575,3.0,70.5
