player_name,player_id,season_x,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,position,recent_team,season_y,total_games,mean_ppg,std_ppg,cv,median_ppg,min_ppg,max_ppg,games_over_10,games_over_15,games_under_5,boom_games,bust_games,pick,round,team,player_display_name_draft,position_draft,college,draft_year,years_experience,is_rookie,player_type,ppg,targets_per_game,carries_per_game,team_abbr,team_name,team_id,team_nick,team_conf,team_division,team_passing_yards,team_rushing_yards,team_passing_tds,team_rushing_tds,team_targets,team_carries,passing_attempts,fumbles_lost,completion_percentage,season,carry_share,yards_per_target,yards_per_carry,td_rate,draft_age_proxy,team_pos_rank,fantasy_points_ppr
G.Minshew,00-0035289,2024.0,REG,203.0,306.0,2013.0,9.0,10.0,29.0,164.0,4.0,3.0,1847.0,1099.0,106.0,-47.06377278283449,1.0,11.152047865084327,0.5439865140461396,19.0,58.0,0.0,2.0,1.0,5.0,-7.564716533728642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.32000000000001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12456998008328807,QB,LV,2024.0,10.0,9.631999,6.056997299194336,0.6288411617279053,11.239999771118164,-1.64,17.98,6.0,1.0,2.0,1.0,2.0,0.0,0.0,,,,,,3.0,False,veteran,9.632000000000001,0.0,1.9,LV,Las Vegas Raiders,2520.0,Raiders,AFC,AFC West,26.222929,8.643312,0.12101910828025478,0.06369426751592357,592.0,380.0,0.0,0.0,0.0,,0.0,0.0,3.0526315789473686,0.0,0.0,0.0,96.32000000000001
S.Miller,00-0035298,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,69.0,0.0,0.0,0.0,106.0,33.0,2.0,4.492800009553321,0.0,4.288888888888889,0.0,0.4946759293701745,0.8755870266471918,0.0,6.9,4.0,0.08333333333333333,0.13333333333333333,0.08847184986595175,0.2316666666666667,0.08529048207663782,0.0,0.0625,0.05405405405405406,0.04264524103831891,0.06823238566131026,0.6388888888888888,0.04061987984707809,WR,PIT,2024.0,4.0,2.975,3.5046398639678955,1.178030252456665,2.549999952316284,0.0,6.8,0.0,0.0,2.0,1.0,2.0,0.0,0.0,,,,,,3.0,False,veteran,2.975,2.25,0.0,PIT,Pittsburgh Steelers,3900.0,Steelers,AFC,AFC North,20.844086,11.801075,0.12365591397849462,0.07526881720430108,486.0,544.0,0.0,0.0,0.0,,0.0,7.666666666666667,0.0,0.0,0.0,0.0,11.9
T.Irwin,00-0035341,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,15.0,0.0,0.0,0.0,62.0,4.0,1.0,-6.57105825309387,0.0,1.4782608695652173,0.0,0.31313728105191296,0.6695574621585564,0.0,1.5,4.0,0.07092198581560284,0.0696629213483146,0.009153318077803204,0.16211331580205596,0.016538037486218304,0.0,0.0196078431372549,0.01694915254237288,0.008269018743109152,0.013230429988974644,0.10638297872340426,0.013267291703520255,WR,CIN,2024.0,4.0,1.125,0.7544313669204712,0.6706056594848633,1.4500000476837158,0.0,1.6,0.0,0.0,4.0,0.0,4.0,0.0,0.0,,,,,,3.0,False,veteran,1.125,2.5,0.0,CIN,Cincinnati Bengals,920.0,Bengals,AFC,AFC North,31.935064,10.220779,0.2792207792207792,0.07142857142857142,628.0,380.0,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,4.5
L.Humphrey,00-0035406,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,45.0,293.0,1.0,2.0,1.0,293.0,192.0,12.0,-8.642496813287035,0.0,16.086675942489897,0.0,1.286064590989319,2.9964700280315952,0.0,33.3,14.0,0.09698275862068965,0.0865072335400059,0.11970074812967581,0.2146799247630392,0.0966358839050132,0.041666666666666664,0.08759124087591241,0.08074534161490683,0.06915127528583993,0.08564204045734389,0.6314655172413793,0.05584602824436762,WR,DEN,2024.0,14.0,4.5928574,4.325143814086914,0.941710889339447,3.6999998092651367,0.0,15.2,1.0,1.0,10.0,3.0,10.0,0.0,0.0,,,,,,3.0,False,veteran,4.5928571428571425,3.2142857142857144,0.0,DEN,Denver Broncos,1400.0,Broncos,AFC,AFC West,18.890476,9.461905,0.14761904761904762,0.05714285714285714,572.0,478.0,0.0,0.0,0.0,,0.0,6.511111111111111,0.0,0.022222222222222223,0.0,0.0,64.3
G.Dortch,00-0035500,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,1.0,0.0,1.0,2.2451673931791447,0.0,37.0,50.0,342.0,3.0,1.0,1.0,207.0,294.0,16.0,7.380935106859431,0.0,22.931154935463137,0.0,0.8356630409577743,3.0558282295039767,0.0,53.3,17.0,0.09208103130755065,0.05599134433324317,0.14893617021276595,0.1829146224279205,0.08862399585384814,0.14285714285714285,0.08376963350785341,0.08962264150943396,0.1157405693554955,0.09947062525450709,0.6298342541436464,0.062303361483689354,WR,ARI,2024.0,17.0,5.3117647,5.241765022277832,0.9868217706680298,3.700000047683716,0.0,21.4,2.0,1.0,11.0,2.0,11.0,0.0,0.0,,,,,,3.0,False,veteran,5.311764705882353,2.9411764705882355,0.29411764705882354,ARI,Arizona Cardinals,3800.0,Cardinals,NFC,NFC West,23.107784,14.676646,0.12574850299401197,0.10778443113772455,523.0,463.0,0.0,0.0,0.0,,0.0,6.84,6.2,0.05454545454545454,0.0,0.0,90.3
D.Slayton,00-0035535,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,1.0,1.8157835443271324,0.0,39.0,71.0,573.0,2.0,0.0,0.0,928.0,124.0,30.0,15.463928752080252,0.0,10.318910476694938,0.0,4.077882390175853,6.097248700695814,0.0,71.0,16.0,0.12815884476534295,0.24766479850547105,0.07285546415981199,0.3903701059523913,0.172020414290003,0.13333333333333333,0.189873417721519,0.18497109826589594,0.15267687381166817,0.1642829980986691,1.0342960288808665,0.09434447741736281,WR,NYG,2024.0,16.0,6.875,6.702487468719482,0.9749072790145874,5.149999618530273,0.0,26.2,4.0,1.0,8.0,2.0,8.0,0.0,0.0,,,,,,3.0,False,veteran,6.875,4.4375,0.125,NYG,New York Giants,3410.0,Giants,NFC,NFC East,24.116438,12.212329,0.10273972602739725,0.08904109589041095,554.0,424.0,0.0,0.0,0.0,,0.0,8.070422535211268,8.5,0.0273972602739726,0.0,0.0,110.0
T.Johnson,00-0035537,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,213.0,1.0,0.0,0.0,13.0,0.6679014434921555,0.0,18.0,25.0,284.0,3.0,0.0,0.0,204.0,170.0,14.0,23.401920958675447,0.0,77.20078898774551,0.0,0.8829654931226564,1.908970275553282,0.0,73.7,17.0,0.04807692307692308,0.04786485218207415,0.0777676120768527,0.11040726636104395,0.07211782630777044,0.1,0.07734806629834254,0.08056872037914692,0.08605891315388522,0.07769426104621636,0.5461538461538461,0.05816239804137966,RB,BUF,2024.0,17.0,5.394118,4.961410045623779,0.9197815656661987,3.5,0.0,17.3,3.0,1.0,11.0,3.0,11.0,0.0,0.0,,,,,,3.0,False,veteran,5.394117647058824,1.4705882352941178,2.411764705882353,BUF,Buffalo Bills,610.0,Bills,AFC,AFC East,21.274418,12.716279,0.15813953488372093,0.17674418604651163,572.0,603.0,0.0,0.0,0.0,,0.0,11.36,5.195121951219512,0.06060606060606061,0.0,0.0,91.7
C.Reynolds,00-0035567,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,139.0,0.0,1.0,0.0,6.0,-4.86852235585684,0.0,3.0,5.0,40.0,0.0,0.0,0.0,-10.0,42.0,2.0,-2.727888468594756,0.0,16.25,0.0,-0.05646053293112117,0.19201171785730609,0.0,17.900000000000002,7.0,0.02336448598130841,-0.007861635220125786,0.03633217993079585,0.028757420795861986,0.01984126984126984,0.0,0.01904761904761905,0.016260162601626018,0.00992063492063492,0.015873015873015872,0.18691588785046728,0.024794172776235558,RB,DET,2024.0,7.0,2.9857142,2.7966818809509277,0.9366877675056458,2.0999999046325684,0.3,8.6,0.0,0.0,6.0,1.0,6.0,0.0,0.0,,,,,,3.0,False,veteran,2.985714285714286,0.7142857142857143,4.428571428571429,DET,Detroit Lions,1540.0,Lions,NFC,NFC North,29.729412,15.817647,0.23529411764705882,0.18823529411764706,561.0,557.0,0.0,0.0,0.0,,0.0,8.0,4.483870967741935,0.0,0.0,0.0,20.900000000000002
T.Homer,00-0035594,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,2.0,0.10105366277275607,0.0,3.0,3.0,11.0,0.0,0.0,0.0,1.0,10.0,0.0,-0.8533709939802065,0.0,11.0,0.0,0.007142857142857143,0.1925,0.0,3.4000000000000004,4.0,0.02459016393442623,0.0011467889908256881,0.026737967914438502,0.037802677094299894,0.01824212271973466,0.0,0.0,0.0,0.00912106135986733,0.014593698175787729,0.09016393442622951,0.027823667507173286,RB,CHI,2024.0,4.0,1.5999999,1.6753108501434326,1.0470693111419678,0.8500000238418579,0.6,4.1,0.0,0.0,4.0,1.0,4.0,0.0,0.0,,,,,,3.0,False,veteran,1.5999999999999999,0.75,1.5,CHI,Chicago Bears,810.0,Bears,NFC,NFC North,25.014084,12.211267,0.14084507042253522,0.09154929577464789,526.0,431.0,0.0,0.0,0.0,,0.0,3.6666666666666665,3.8333333333333335,0.0,0.0,0.0,6.3999999999999995
D.Johnson,00-0035628,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,143.0,0.0,0.0,0.0,7.0,3.198504520460256,0.0,12.0,19.0,96.0,0.0,0.0,0.0,7.0,101.0,3.0,-12.74694028068916,0.0,-8.173809523809524,0.0,-0.026467764158603628,1.0089763231904585,0.0,23.900000000000002,12.0,0.049479166666666664,0.0021406727828746177,0.08647260273972603,0.0759312882262997,0.03617181612660136,0.0,0.024193548387096774,0.021739130434782608,0.01808590806330068,0.028937452901281087,0.25,0.038804098750486404,RB,JAX,2024.0,12.0,2.991666,2.8269670009613037,0.944947361946106,2.799999952316284,0.0,10.0,1.0,0.0,10.0,2.0,10.0,0.0,0.0,,,,,,3.0,False,veteran,2.9916666666666667,1.5833333333333333,2.6666666666666665,JAX,Jacksonville Jaguars,2250.0,Jaguars,AFC,AFC South,22.944445,10.672839,0.11728395061728394,0.08024691358024691,522.0,414.0,0.0,0.0,0.0,,0.0,5.052631578947368,4.46875,0.0,0.0,0.0,35.9
